"UserID","Username","GlobalRank","PP","RME","RMERanking","Location"
12459068,"Nigel",7727,8949.32,1449.20378092965,8620,"Canada"
13717099,"uyaz",3421,10350.2,1449.19187403138,8621,"Belgium"
15262410,"TeddyFine",164788,3841.13,1449.18802025047,8622,"United States"
12695873,"Matikane_Citrus",143200,4108.53,1449.17758552804,8623,"China"
15352147,"Nakili",24848,7031.31,1449.17537695088,8624,"France"
21024032,"25 pringles",35996,6427.52,1449.15864175709,8625,"South Africa"
10558466,"Shinjuko",100435,4737.69,1449.15693535565,8626,"Indonesia"
1061213,"Patchouli-R",93502,4858.22,1449.13331761699,8627,"China"
14763955,"Kuro_Tetomin",44448,6082.35,1449.05109864508,8628,"Japan"
14483373,"WoozyDuchess",21840,7240.99,1449.04306539785,8629,"India"
11824060,"I LOVE REQUIS",387662,2276.92,1449.03421290026,8630,"Australia"
16551148,"Keke Tang",31800,6630.5,1448.96507742379,8631,"Germany"
20263707,"bob man",416,14170.8,1448.95811832874,8632,"Greece"
11639103,"Yumiyo",12169,8214.42,1448.93089238382,8633,"Germany"
9613246,"R0mi",20149,7374.92,1448.91798413382,8634,"Estonia"
13049061,"Kenovich",283964,2831.53,1448.89345460808,8635,"Russian Federation"
20659954,"turbo86lol",14963,7868.81,1448.85993129099,8636,"Brazil"
19154602,"ooshygirl",29884,6729.72,1448.84938992292,8637,"Vietnam"
18671228,"sonzai",10031,8528.59,1448.81972255905,8638,"Germany"
14115352,"[MojitoBurrito]",25951,6959.45,1448.79225709069,8639,"Switzerland"
8453742,"OG_Dwarf",10575,8445.11,1448.79175545017,8640,"France"
19074302,"- Celestia -",195289,3526.95,1448.76922786827,8641,"Mexico"
12908557,"Pabelo20",19243,7445.41,1448.74035323115,8642,"Poland"
13762441,"Orcanos",233758,3191.48,1448.69074541506,8643,"Australia"
22629385,"shewa",186067,3615.01,1448.66975186733,8644,"Russian Federation"
14312231,"G_Infinity",49123,5919.45,1448.64279881488,8645,"India"
18112481,"Murpybunny",1638991,377.725,1448.6400412393,8646,"United States"
28730626,"fluoresce",140792,4140.14,1448.63084054147,8647,"China"
9826994,"radioactive329",45695,6036.95,1448.62666684273,8648,"United States"
8883892,"NaimuTongzi",47474,5976.46,1448.55327698037,8649,"China"
19766415,"Ohska",73600,5256.77,1448.53045318953,8650,"United States"
11913173,"Chrueso",10107,8517.92,1448.51097272499,8651,"Malaysia"
14347059,"Kochindera",151839,3998.18,1448.49428363623,8652,"Singapore"
18336339,"WOAH0",1538916,424.93,1448.43128380813,8653,"Saudi Arabia"
15055740,"NOMOD FARMER",14776,7890.1,1448.38971318745,8654,"Germany"
21469664,"65535",153768,3972.56,1448.37296904547,8655,"China"
10592989,"ellyn",60067,5586.7,1448.32878808786,8656,"Singapore"
14719028,"Hyreax",115344,4498.43,1448.32274375406,8657,"Türkiye"
7305511,"Twisterz",19888,7394.22,1448.2921228949,8658,"Canada"
6766278,"Pirasto",9935,8542.74,1448.28289972881,8659,"Poland"
