UserID,Username,GlobalRank,PP,RME,Location
12201127,NootOW,12408,8185.52,,Canada
12321905,Dr_Akula,391448,2259.74,,Portugal
17396262,Cmish,22068,7223.31,,Hungary
31643486,skiddoe,212682,3368.29,,Russian Federation
9213524,MattyGee,4983,9716.46,,United Kingdom
10954753,MRX,28142,6828.8,,Russian Federation
22643986,korajlicdalio,198864,3494.07,,Bosnia and Herzegovina
6254839,Biocode,3580,10276.6,,United States
25459233,the boss bob,23646,7111.99,,Israel
17682485,moI,12457,8178.67,,Germany
15778305,fing3r,30017,6722.8,,Russian Federation
17205452,determined goon,91107,4902.02,,Croatia
18890912,gabercat,41829,6180.13,,United States
20630026,cuminator,54180,5755.87,,Singapore
18429323,Pekara,80416,5107.34,,Serbia
21344890,Kafelek123,15922,7761.2,,Poland
29375561,Whyok,23842,7098.15,,Singapore
13686815,GoPhoCureSelf,95102,4829.35,,United States
12315275,JJthekidrs,111350,4562.46,,Singapore
13502929,TDQM,52950,5794.1,,United States
25030652,jy2110,45065,6060.05,,Singapore
9633566,foraphe,109820,4585.75,,China
7958845,Orca-,,0,,United States
24881054,N0vachrono,128539,4306.83,,Malaysia
26620307,Tikerplay,137247,4187.42,,Russian Federation
19469418,hyfishboiboi,62302,5526.42,,Singapore
15513944,J3lackai,57642,5655.29,,Russian Federation
10470430,Markizzzzz,173137,3749.5,,Slovenia
17387979,Line Evor,80940,5097.23,,Ukraine
13635916,Jacos,42551,6152.53,,United States
8478177,Yuzu,35036,6470.97,,Bosnia and Herzegovina
11190020,Lihu,70799,5319.25,,Serbia
18873334,- syntrxx -,95730,4818.54,,Australia
2845904,dectopia,1052,12488.5,,Japan
19182529,FlexingZey,92896,4869.68,,Indonesia
31956309,MAPSILL,96952,4796.17,,Japan
6747917,S Cantoniensis,3218,10457.3,,South Korea
12637560,Ok Handyt,93293,4862.07,,Bosnia and Herzegovina
30719816,Gogggy,388988,2270.88,,Philippines
19707335,had and,630682,1443.84,,United States
13784932,diwpa,283499,2834.49,,Russian Federation
11313227,Quotient,2550065,124.439,,Hong Kong
12458063,Kira_Katsumi,64708,5464.89,,Hungary
23219229,FarBn,7609,8977.56,,Croatia
6895087,Manatee on duty,120249,4427.18,,France
13580166,jumbokiller217,284465,2828.66,,Germany
13696515,foxysamu,11541,8298.62,,France
17482520,Yasi6n,1905052,275.873,,Türkiye
11094254,tektek,2595,10819.6,,United Kingdom
10702262,TheBlueHedgehog,113946,4521.06,,Germany
19191176,DeadSalgor,310584,2668.98,,Venezuela
12936510,Gonked,77842,5163.73,,United States
8589120,Lilian,4017,10094.0,,United States
18077991,geometrick,48202,5951.86,,United States
9487031,Make Music,14000,7986.14,,South Korea
30651420,Madilyn,41843,6179.13,,United States
7543047,modico,17514,7602.05,,Italy
4982690,dragonsaga,8311,8827.59,,Türkiye
19553508,Speykious,116253,4485.18,,France
4685069,Aconex,23856,7097.3,,Germany
4489666,Retixia,3251,10437.4,,Japan
28616198,[Paw]Cirro,47659,5968.85,,Hong Kong
10615643,KatSe,120150,4428.65,,Germany
3683323,Kosmonautas,4954,9724.23,,Lithuania
19943836,Myokou Rysei,11228,8348.79,,Türkiye
25976115,YABOKY,70493,5326.45,,Russian Federation
29909010,jczka148,295129,2761.52,,Taiwan
17137763,ELAINA-1017,130215,4284.4,,Taiwan
18721380,terra238523,85422,5007.25,,Türkiye
9981848,I7eTyx,628632,1448.67,,Russian Federation
19307063,wojSHEEsan,47340,5980.89,,Poland
27309956,zMag13,111980,4552.3,,United States
12731071,gaeru rest,7097,9095.67,,South Korea
10793337,rawrxd5,28482,6811.18,,United States
8127591,MasterAnimit,146436,4065.4,,Poland
12509677,rulerofsquids,2703299,102.142,,United States
13143625,jiaweixie,151326,4004.52,,United States
14113711,NexDen,93972,4849.61,,Türkiye
17233121,alex5,15836,7770.41,,United Kingdom
13062107,Calipso,5505,9549.66,,Israel
14536671,Bardero,25250,7006.46,,Argentina
13630983,CNjoin,85791,5000.2,,China
12305377,nyaku,10755,8420.17,,South Africa
17651326,Simmdoge,45282,6050.68,,United Kingdom
27699555,FloppyMC,47400,5978.4,,Bulgaria
3354985,Merloni,11476,8310.4,,Austria
4841352,Jaye,108253,4611.08,,Australia
12219330,Alex The JPEG,16920,7661.05,,United States
9851804,vro,6880,9148.31,,Lithuania
14546796,Henkkaz21,20298,7361.63,,Finland
11584075,2010d0LbAy0b_LT,714,13209.9,,Lithuania
8126553,Evirir,352341,2445.27,,Malaysia
6616435,Zig_zaC,64589,5468.25,,Azerbaijan
20659954,turbo86lol,14963,7868.81,,Brazil
4581069,etn,88,17057.2,,Romania
17148362,Arca 2Milli,84288,5030.6,,Italy
14583504,skurdan,14314,7942.06,,Germany
15491657,Cawa akali,56684,5683.4,,Brazil
22645272,AlexSierra,3829381,22.3293,,Chile
25721168,Zhabka123,17645,7589.59,,Russian Federation
12875343,AkakiKN,11001,8384.8,,Romania
11370425,kuryyyyy,8171,8859.56,,United Kingdom
7297306,-Danns,35593,6445.47,,Brazil
12710418,Rizzl,78948,5140.17,,Russian Federation
2164993,Fynbi,134902,4218.87,,Philippines
16235317,RomanianTroller,69897,5340.12,,Romania
5551051,White Crow,36516,6403.33,,Austria
16080028,Touda,312441,2658.32,,Japan
8553755,Zytronik,144131,4096.17,,Switzerland
22005940,Nendus,29471,6753.74,,Israel
23870096,LeafLeave,39817,6261.94,,Vietnam
29597520,sdohla,46412,6011.5,,Russian Federation
3847956,ev3nvy,59779,5594.01,,Slovenia
21980865,Something0712,187543,3600.17,,Vietnam
2887386,Sakubus,81468,5086.09,,Netherlands
12116225,zyronl,5305,9610.17,,Singapore
18399859,RainbowSR,73992,5247.94,,Taiwan
5246628,lunaboom,127307,4324.14,,United States
24543173,397 Natsu,1768289,324.548,,France
10494860,MashedPotato,224288,3269.65,,Vietnam
6677788,WillLITE,5923,9423.92,,Dominican Republic
29031839,aalishaooo,136243,4200.91,,Bosnia and Herzegovina
23155757,ZeroKungz,185841,3617.12,,Thailand
13583469,Uzer,8657,8759.62,,Russian Federation
15841536,[ YukiChan ],14629,7905.97,,United States
17779288,SoStari,3197,10465.7,,South Africa
9400468,doubaran,10815,8411.55,,Türkiye
10778261,Razei,314,14715.0,,Romania
25167769,Fritzeg4,96144,4810.76,,France
10285963,murziels,4427,9920.78,,Kazakhstan
20253647,Turns,157375,3928.41,,United States
19059907,TomSouls,119863,4432.91,,Germany
18786195,ALWW,1780892,319.717,,China
14100399,JuLi0n_,58470,5630.68,,Germany
23213187,wayblitz,302804,2715.46,,Luxembourg
11255713,zKiyoko,1707,11564.3,,Germany
19511200,ReimuVN,45164,6055.53,,Vietnam
30862458,moemeo,185514,3620.47,,Vietnam
27994255,[ Aharen ],161343,3880.61,,Peru
24882497,Arch1010,757069,1174.99,,United States
7593010,GMTrooll,20591,7337.75,,Romania
11610643,KAAAL,12965,8111.43,,Austria
22623750,dogshit85,125546,4350.29,,Slovakia
26776016,lol-ok,17375,7616.99,,Norway
14682203,SkyLongFeed,371437,2351.8,,Russian Federation
15594602,Dextrol,2191,11145.7,,Argentina
19296488,- scubi -,35742,6439.53,,Colombia
25716837,JustBenflyy,106994,4631.12,,Belgium
24345309,Kasumizawa-Miyu,1238990,610.107,,New Zealand
1784164,SakaNaz,283025,2837.49,,Hong Kong
14350246,WHYHELLOTHERE69,8294,8829.48,,United States
12692676,vocaloidfanboy,20366,7356.24,,United States
21562589,s3kki,339486,2510.93,,Russian Federation
